symbol,source,headline,summary,published_at,nse_category,raw,score
360ONE,NSE_CORP_ANN,ESOP/ESOS/ESPS,360 ONE WAM LIMITED has informed the Exchange regarding Allotment of 212637  Shares.,,,"{'symbol': '360ONE', 'desc': 'ESOP/ESOS/ESPS', 'dt': '18122025174415', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/IIFLWAM_18122025174051_20251218AllotmentofESOPssigned.pdf', 'sm_name': '360 ONE WAM LIMITED', 'sm_isin': 'INE466L01020', 'an_dt': '18-Dec-2025 17:44:15', 'sort_date': '2025-12-18 17:44:15', 'seq_id': '106471532', 'smIndustry': None, 'orgid': None, 'attchmntText': '360 ONE WAM LIMITED has informed the Exchange regarding Allotment of 212637  Shares.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '18-Dec-2025 17:44:16', 'difference': '00:00:01', 'fileSize': '182.81 KB', 'attFileSize': '182.81 KB', 'hasXbrl': True}",0.0
ABB,NSE_CORP_ANN,General Updates,ABB India Limited has informed the Exchange about General Updates,,,"{'symbol': 'ABB', 'desc': 'General Updates', 'dt': '12122025121215', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ABB_12122025121127_Reg30disclosure_Dec122025.pdf', 'sm_name': 'ABB India Limited', 'sm_isin': 'INE117A01022', 'an_dt': '12-Dec-2025 12:12:15', 'sort_date': '2025-12-12 12:12:15', 'seq_id': '106466902', 'smIndustry': 'Electrical Equipment', 'orgid': None, 'attchmntText': 'ABB India Limited has informed the Exchange about General Updates', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '12-Dec-2025 12:12:16', 'difference': '00:00:01', 'fileSize': '3.19 MB', 'attFileSize': '3.19 MB', 'hasXbrl': True}",0.0
ABB,NSE_CORP_ANN,Trading Window,"ABB India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,"{'symbol': 'ABB', 'desc': 'Trading Window', 'dt': '12122025115542', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ABB_12122025115525_Regu_29_BM_Intimation_letter_Q4.pdf', 'sm_name': 'ABB India Limited', 'sm_isin': 'INE117A01022', 'an_dt': '12-Dec-2025 11:55:42', 'sort_date': '2025-12-12 11:55:42', 'seq_id': '106466894', 'smIndustry': 'Electrical Equipment', 'orgid': None, 'attchmntText': 'ABB India Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '12-Dec-2025 11:55:44', 'difference': '00:00:02', 'fileSize': '238.33 KB', 'attFileSize': '238.33 KB', 'hasXbrl': True}",0.0
AUBANK,NSE_CORP_ANN,Allotment of Securities,"AU Small Finance Bank Limited has informed the Exchange regarding allotment of 271991 securities pursuant to ESOP/ESPS at its meeting held on December 12, 2025",,,"{'symbol': 'AUBANK', 'desc': 'Allotment of Securities', 'dt': '12122025171825', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/SUMIT1_12122025171532_20251212_ESOPAllotmentIntimation.pdf', 'sm_name': 'AU Small Finance Bank Limited', 'sm_isin': 'INE949L01017', 'an_dt': '12-Dec-2025 17:18:25', 'sort_date': '2025-12-12 17:18:25', 'seq_id': '106467185', 'smIndustry': None, 'orgid': None, 'attchmntText': 'AU Small Finance Bank Limited has informed the Exchange regarding allotment of 271991 securities pursuant to ESOP/ESPS at its meeting held on December 12, 2025', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '12-Dec-2025 17:18:26', 'difference': '00:00:01', 'fileSize': '1.04 MB', 'attFileSize': '1.04 MB', 'hasXbrl': True}",0.0
ADANIENSOL,NSE_CORP_ANN,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Energy Solutions Limited has informed the Exchange about Interaction with Investors,,,"{'symbol': 'ADANIENSOL', 'desc': 'Analysts/Institutional Investor Meet/Con. Call Updates', 'dt': '15122025205848', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ADANITRANS_15122025205801_SE_Intimation.pdf', 'sm_name': 'Adani Energy Solutions Limited', 'sm_isin': 'INE931S01010', 'an_dt': '15-Dec-2025 20:58:48', 'sort_date': '2025-12-15 20:58:48', 'seq_id': '106468688', 'smIndustry': None, 'orgid': None, 'attchmntText': 'Adani Energy Solutions Limited has informed the Exchange about Interaction with Investors', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '15-Dec-2025 20:58:49', 'difference': '00:00:01', 'fileSize': '144.53 KB', 'attFileSize': '144.53 KB', 'hasXbrl': True}",0.0
ADANIENSOL,NSE_CORP_ANN,General Updates,Adani Energy Solutions Limited has informed the Exchange about Execution of Share Purchase Agreement for Acquiring 100% Equity shares of KPS III HVDC Transmission Limited,,,"{'symbol': 'ADANIENSOL', 'desc': 'General Updates', 'dt': '12122025150321', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ADANITRANS_12122025150033_AESL_SE_Intimation_-_KPS_III.pdf', 'sm_name': 'Adani Energy Solutions Limited', 'sm_isin': 'INE931S01010', 'an_dt': '12-Dec-2025 15:03:21', 'sort_date': '2025-12-12 15:03:21', 'seq_id': '106467047', 'smIndustry': None, 'orgid': None, 'attchmntText': 'Adani Energy Solutions Limited has informed the Exchange about Execution of Share Purchase Agreement for Acquiring 100% Equity shares of KPS III HVDC Transmission Limited', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '12-Dec-2025 15:03:22', 'difference': '00:00:01', 'fileSize': '186.47 KB', 'attFileSize': '186.47 KB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Incorporation,Adani Enterprises Limited has informed the Exchange about Incorporation,,,"{'symbol': 'ADANIENT', 'desc': 'Incorporation', 'dt': '18122025230359', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_18122025230346_AELIntimationMDL18122025.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '18-Dec-2025 23:03:59', 'sort_date': '2025-12-18 23:03:59', 'seq_id': '106471906', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange about Incorporation', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '18-Dec-2025 23:04:00', 'difference': '00:00:01', 'fileSize': '161.28 KB', 'attFileSize': '161.28 KB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Record Date,Adani Enterprises Limited has informed the Exchange that Record date for the purpose of first Call on partly paid equity shares issued on rights basis is 23-Dec-2025.,,,"{'symbol': 'ADANIENT', 'desc': 'Record Date', 'dt': '17122025210045', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_17122025205644_AELRICOutcome17122025.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '17-Dec-2025 21:00:45', 'sort_date': '2025-12-17 21:00:45', 'seq_id': '106470713', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange that Record date for the purpose of first Call on partly paid equity shares issued on rights basis is 23-Dec-2025.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '17-Dec-2025 21:00:46', 'difference': '00:00:01', 'fileSize': '141.17 KB', 'attFileSize': '141.17 KB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Outcome of Board Meeting,"Adani Enterprises Limited has informed the Exchange regarding outcome of rights issue committee meeting held on December 17, 2025.",,,"{'symbol': 'ADANIENT', 'desc': 'Outcome of Board Meeting', 'dt': '17122025205205', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_17122025204731_AELRICOutcome17122025.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '17-Dec-2025 20:52:05', 'sort_date': '2025-12-17 20:52:05', 'seq_id': '106470708', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange regarding outcome of rights issue committee meeting held on December 17, 2025.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '17-Dec-2025 20:52:07', 'difference': '00:00:02', 'fileSize': '141.17 KB', 'attFileSize': '141.17 KB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Enterprises Limited has informed the Exchange about Schedule of meet,,,"{'symbol': 'ADANIENT', 'desc': 'Analysts/Institutional Investor Meet/Con. Call Updates', 'dt': '15122025231731', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_15122025231700_AELIntimation15122025.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '15-Dec-2025 23:17:31', 'sort_date': '2025-12-15 23:17:31', 'seq_id': '106468836', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange about Schedule of meet', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '15-Dec-2025 23:17:32', 'difference': '00:00:01', 'fileSize': '136.11 KB', 'attFileSize': '136.11 KB', 'hasXbrl': True}",0.0
