symbol,source,published_at,headline,summary,clean_text,event_type,is_routine,is_potentially_negative,impact_direction,severity_score,confidence_score,flag_reason,parser_version,human_label,human_comment,raw_id
AUROPHARMA,NSE_CORP_ANN,,General Updates,"Aurobindo Pharma Limited has informed the Exchange about completion of US FDA Inspection at Unit-IV of APL Healthcare Limited, a wholly owned subsidiary of the Company","General Updates Aurobindo Pharma Limited has informed the Exchange about completion of US FDA Inspection at Unit-IV of APL Healthcare Limited, a wholly owned subsidiary of the Company",OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
AXISBANK,NSE_CORP_ANN,,Shareholders meeting,Axis Bank Limited has informed the Exchange regarding Notice of Postal Ballot,Shareholders meeting Axis Bank Limited has informed the Exchange regarding Notice of Postal Ballot,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
AXISBANK,NSE_CORP_ANN,,Change in Director(s),Axis Bank Limited has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s) Axis Bank Limited has informed the Exchange regarding Change in Director(s) of the company.,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
AXISBANK,NSE_CORP_ANN,,ESOP/ESOS/ESPS,Axis Bank Limited has informed the Exchange regarding Allotment of 245902  Shares.,ESOP/ESOS/ESPS Axis Bank Limited has informed the Exchange regarding Allotment of 245902 Shares.,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BSE,NSE_CORP_ANN,,News Verification,The Exchange has sought clarification from BSE Limited with respect to recent news item captioned BSE shares rise 3.5% as report says stock exchange plans to launch more monthly index option products.  The response from the Company is attached.,News Verification The Exchange has sought clarification from BSE Limited with respect to recent news item captioned BSE shares rise 3.5% as report says stock exchange plans to launch more monthly index option products. The response from the Company is attached.,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BSE,NSE_CORP_ANN,,News Verification,The Exchange has sought clarification from BSE Limited with respect to recent news item captioned BSE shares rise 3.5% as report says stock exchange plans to launch more monthly index option products.  The response from the Company is awaited.,News Verification The Exchange has sought clarification from BSE Limited with respect to recent news item captioned BSE shares rise 3.5% as report says stock exchange plans to launch more monthly index option products. The response from the Company is awaited.,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BSE,NSE_CORP_ANN,,Change in Management,BSE Limited has informed the Exchange about re-designation of Key Management Personnel and Senior Management,Change in Management BSE Limited has informed the Exchange about re-designation of Key Management Personnel and Senior Management,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BSE,NSE_CORP_ANN,,Outcome of Board Meeting,"BSE Limited has informed the Exchange regarding Outcome of Board Meeting held on December 17, 2025.","Outcome of Board Meeting BSE Limited has informed the Exchange regarding Outcome of Board Meeting held on December 17, 2025.",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BSE,NSE_CORP_ANN,,Action(s) taken or orders passed,BSE Limited has informed the Exchange about Action(s) taken or orders passed.,Action(s) taken or orders passed BSE Limited has informed the Exchange about Action(s) taken or orders passed.,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BSE,NSE_CORP_ANN,,Change in Director(s),BSE Limited has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s) BSE Limited has informed the Exchange regarding Change in Director(s) of the company.,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BANDHANBNK,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,"Bandhan Bank Limited has informed the Exchange about Update on the Analysts / Institutional Investors Meet held on December 18, 2025","Analysts/Institutional Investor Meet/Con. Call Updates Bandhan Bank Limited has informed the Exchange about Update on the Analysts / Institutional Investors Meet held on December 18, 2025",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BANDHANBNK,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,"Bandhan Bank Limited has informed the Exchange about Update on Analysts / Institutional Investors Meet held on December 17, 2025.","Analysts/Institutional Investor Meet/Con. Call Updates Bandhan Bank Limited has informed the Exchange about Update on Analysts / Institutional Investors Meet held on December 17, 2025.",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BANKBARODA,NSE_CORP_ANN,,General Updates,Bank Of Baroda has informed the Exchange about Disclosure Under Regulation 30 of SEBI (LODR),General Updates Bank Of Baroda has informed the Exchange about Disclosure Under Regulation 30 of SEBI (LODR),OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BANKINDIA,NSE_CORP_ANN,,Trading Window,"Bank Of India has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","Trading Window Bank Of India has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BANKINDIA,NSE_CORP_ANN,,Updates,Bank Of India has informed the Exchange regarding ' Bank Of India has informed the Exchange regarding 'Notice for Excercise of Call Option in respect of 9.04% Additional Tier I Bonds Series VI (ISIN NO.INE084A08136) Fixation of Record Date'.'.,Updates Bank Of India has informed the Exchange regarding ' Bank Of India has informed the Exchange regarding 'Notice for Excercise of Call Option in respect of 9.04% Additional Tier I Bonds Series VI (ISIN NO.INE084A08136) Fixation of Record Date'.'.,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BANKINDIA,NSE_CORP_ANN,,Change in Management,Bank Of India has informed the Exchange about change in Assignment of Senior Management w.e.f. 20.12.2025.,Change in Management Bank Of India has informed the Exchange about change in Assignment of Senior Management w.e.f. 20.12.2025.,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BANKINDIA,NSE_CORP_ANN,,Credit Rating,Bank Of India has informed the Exchange about Credit Rating,Credit Rating Bank Of India has informed the Exchange about Credit Rating,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BANKINDIA,NSE_CORP_ANN,,Credit Rating,Bank Of India has informed the Exchange about Credit Rating,Credit Rating Bank Of India has informed the Exchange about Credit Rating,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BANKINDIA,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Bank Of India has informed the Exchange about Investor/Analyst Meet,Analysts/Institutional Investor Meet/Con. Call Updates Bank Of India has informed the Exchange about Investor/Analyst Meet,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BANKINDIA,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Bank Of India has informed the Exchange about Investor/Analyst Meet,Analysts/Institutional Investor Meet/Con. Call Updates Bank Of India has informed the Exchange about Investor/Analyst Meet,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BHARATFORG,NSE_CORP_ANN,,Credit Rating,Bharat Forge Limited has informed the Exchange about Credit Rating,Credit Rating Bharat Forge Limited has informed the Exchange about Credit Rating,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BHEL,NSE_CORP_ANN,,Amendment to AOA/MOA,Bharat Heavy Electricals Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.,Amendment to AOA/MOA Bharat Heavy Electricals Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BHEL,NSE_CORP_ANN,,Shareholders meeting,Voting Results of Postal Ballot along with Scrutinizer's Report,Shareholders meeting Voting Results of Postal Ballot along with Scrutinizer's Report,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BPCL,NSE_CORP_ANN,,Trading Window,"Bharat Petroleum Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015","Trading Window Bharat Petroleum Corporation Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BPCL,NSE_CORP_ANN,,General Updates,Bharat Petroleum Corporation Limited has informed the Exchange about General Updates,General Updates Bharat Petroleum Corporation Limited has informed the Exchange about General Updates,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BPCL,NSE_CORP_ANN,,Copy of Newspaper Publication,Bharat Petroleum Corporation Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication Bharat Petroleum Corporation Limited has informed the Exchange about Copy of Newspaper Publication,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BHARTIARTL,NSE_CORP_ANN,,Copy of Newspaper Publication,Bharti Airtel Limited has informed the Exchange about Copy of Newspaper Publication,Copy of Newspaper Publication Bharti Airtel Limited has informed the Exchange about Copy of Newspaper Publication,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BHARTIARTL,NSE_CORP_ANN,,Amendment to AOA/MOA,Bharti Airtel Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.,Amendment to AOA/MOA Bharti Airtel Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.,OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BHARTIARTL,NSE_CORP_ANN,,Agreements,Bharti Airtel Limited has informed the Exchange about Agreements,Agreements Bharti Airtel Limited has informed the Exchange about Agreements,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
BHARTIARTL,NSE_CORP_ANN,,General Updates,"Bharti Airtel Limited has informed the Exchange about the outcome of the Board meeting dt. December 18, 2025 w.r.t. First and Final Call on partly paid-up equity shares.","General Updates Bharti Airtel Limited has informed the Exchange about the outcome of the Board meeting dt. December 18, 2025 w.r.t. First and Final Call on partly paid-up equity shares.",OTHER,True,False,NEUTRAL,0.0,0.5,,v3.0,,,
BHARTIARTL,NSE_CORP_ANN,,Change in Director(s),Bharti Airtel Limited has informed the Exchange regarding Change in Director(s) of the company.,Change in Director(s) Bharti Airtel Limited has informed the Exchange regarding Change in Director(s) of the company.,OTHER,False,False,NEUTRAL,0.0,0.5,,v3.0,,,
