symbol,source,headline,summary,published_at,nse_category,raw,score
AMBER,NSE_CORP_ANN,General Updates,Amber Enterprises India Limited has informed the Exchange that the Company is planning to invest Rs. 500 Crore for expansion of its state-of-the-art Research & Development (R&D) Centre in Punjab.,,,"{'symbol': 'AMBER', 'desc': 'General Updates', 'dt': '18122025185331', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/AMBER_18122025185257_SE_Intimation_Disclosure_FacilityExpansion_18122025.pdf', 'sm_name': 'Amber Enterprises India Limited', 'sm_isin': 'INE371P01015', 'an_dt': '18-Dec-2025 18:53:31', 'sort_date': '2025-12-18 18:53:31', 'seq_id': '106471622', 'smIndustry': None, 'orgid': None, 'attchmntText': 'Amber Enterprises India Limited has informed the Exchange that the Company is planning to invest Rs. 500 Crore for expansion of its state-of-the-art Research & Development (R&D) Centre in Punjab.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '18-Dec-2025 18:53:32', 'difference': '00:00:01', 'fileSize': '248.96 KB', 'attFileSize': '248.96 KB', 'hasXbrl': True}",0.0
AMBUJACEM,NSE_CORP_ANN,General Updates,Ambuja Cements Limited has informed the Exchange about Capital Market Q&A on - Amalgamation of ACC Limited and Orient Cement Limited with Ambuja Cements Limited,,,"{'symbol': 'AMBUJACEM', 'desc': 'General Updates', 'dt': '22122025210624', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/AMBUJACEM_22122025210530_Ambuja_SE_Capital_Market_QnA_Final.pdf', 'sm_name': 'Ambuja Cements Limited', 'sm_isin': 'INE079A01024', 'an_dt': '22-Dec-2025 21:06:24', 'sort_date': '2025-12-22 21:06:24', 'seq_id': '106474252', 'smIndustry': 'Cement And Cement Products', 'orgid': None, 'attchmntText': 'Ambuja Cements Limited has informed the Exchange about Capital Market Q&A on - Amalgamation of ACC Limited and Orient Cement Limited with Ambuja Cements Limited', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '22-Dec-2025 21:06:25', 'difference': '00:00:01', 'fileSize': '990.66 KB', 'attFileSize': '990.66 KB', 'hasXbrl': True}",0.0
AMBUJACEM,NSE_CORP_ANN,Press Release,Approval of Scheme of Amalgamation of ACC Limited with Ambuja Cements Limited and Orient Cement Limited with Ambuja Cements Limited,,,"{'symbol': 'AMBUJACEM', 'desc': 'Press Release', 'dt': '22122025205332', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/AMBUJACEM_22122025205313_Ambuja_SE_Media_Release_Final.pdf', 'sm_name': 'Ambuja Cements Limited', 'sm_isin': 'INE079A01024', 'an_dt': '22-Dec-2025 20:53:32', 'sort_date': '2025-12-22 20:53:32', 'seq_id': '106474244', 'smIndustry': 'Cement And Cement Products', 'orgid': None, 'attchmntText': 'Approval of Scheme of Amalgamation of ACC Limited with Ambuja Cements Limited and Orient Cement Limited with Ambuja Cements Limited', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '22-Dec-2025 20:53:33', 'difference': '00:00:01', 'fileSize': '250.61 KB', 'attFileSize': '250.61 KB', 'hasXbrl': True}",0.0
AMBUJACEM,NSE_CORP_ANN,Amalgamation/Merger,Approval of Scheme of Amalgamation of ACC Limited with Ambuja Cements Limited and Orient Cement Limited with Ambuja Cements Limited,,,"{'symbol': 'AMBUJACEM', 'desc': 'Amalgamation/Merger', 'dt': '22122025204438', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/AMBUJACEM_22122025204411_ACL_Outcome_BM_22122025_Final.pdf', 'sm_name': 'Ambuja Cements Limited', 'sm_isin': 'INE079A01024', 'an_dt': '22-Dec-2025 20:44:38', 'sort_date': '2025-12-22 20:44:38', 'seq_id': '106474239', 'smIndustry': 'Cement And Cement Products', 'orgid': None, 'attchmntText': 'Approval of Scheme of Amalgamation of ACC Limited with Ambuja Cements Limited and Orient Cement Limited with Ambuja Cements Limited', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '22-Dec-2025 20:44:39', 'difference': '00:00:01', 'fileSize': '334.36 KB', 'attFileSize': '334.36 KB', 'hasXbrl': True}",0.0
ANGELONE,NSE_CORP_ANN,Updates,"Angel One Limited has informed the Exchange regarding ' AngelOne Limited has been awarded ISO 22301:2019 Certification for its Business ContinuityManagement System (BCMS) by Intertek Certification Limited on December 22, 2025'.",,,"{'symbol': 'ANGELONE', 'desc': 'Updates', 'dt': '23122025112236', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ANGEL8896_23122025112224_Intimation_receipt_of_ISO_certification.pdf', 'sm_name': 'Angel One Limited', 'sm_isin': 'INE732I01013', 'an_dt': '23-Dec-2025 11:22:36', 'sort_date': '2025-12-23 11:22:36', 'seq_id': '106474777', 'smIndustry': None, 'orgid': None, 'attchmntText': ""Angel One Limited has informed the Exchange regarding ' AngelOne Limited has been awarded ISO 22301:2019 Certification for its Business ContinuityManagement System (BCMS) by Intertek Certification Limited on December 22, 2025'."", 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '23-Dec-2025 11:22:37', 'difference': '00:00:01', 'fileSize': '205.76 KB', 'attFileSize': '205.76 KB', 'hasXbrl': True}",0.0
ANGELONE,NSE_CORP_ANN,Trading Window,"Angel One Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015",,,"{'symbol': 'ANGELONE', 'desc': 'Trading Window', 'dt': '16122025171808', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ANGEL8896_16122025171729_IntimationBoardMeetingandearningscall16122025.pdf', 'sm_name': 'Angel One Limited', 'sm_isin': 'INE732I01013', 'an_dt': '16-Dec-2025 17:18:08', 'sort_date': '2025-12-16 17:18:08', 'seq_id': '106469489', 'smIndustry': None, 'orgid': None, 'attchmntText': 'Angel One Limited has informed the Exchange regarding the Trading Window closure pursuant to SEBI (Prohibition of Insider Trading) Regulations, 2015', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '16-Dec-2025 17:18:09', 'difference': '00:00:01', 'fileSize': '543.32 KB', 'attFileSize': '543.32 KB', 'hasXbrl': True}",0.0
AUROPHARMA,NSE_CORP_ANN,General Updates,"Aurobindo Pharma Limited has informed the Exchange about completion of US FDA Inspection at Unit-IV of APL Healthcare Limited, a wholly owned subsidiary of the Company",,,"{'symbol': 'AUROPHARMA', 'desc': 'General Updates', 'dt': '18122025100535', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/AUROPHARMA_18122025100448_LtrToSEsAPLHCUnitVUSFDAinspection18122025.pdf', 'sm_name': 'Aurobindo Pharma Limited', 'sm_isin': 'INE406A01029', 'an_dt': '18-Dec-2025 10:05:35', 'sort_date': '2025-12-18 10:05:35', 'seq_id': '106471066', 'smIndustry': 'Pharmaceuticals', 'orgid': None, 'attchmntText': 'Aurobindo Pharma Limited has informed the Exchange about completion of US FDA Inspection at Unit-IV of APL Healthcare Limited, a wholly owned subsidiary of the Company', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '18-Dec-2025 10:05:36', 'difference': '00:00:01', 'fileSize': '247.67 KB', 'attFileSize': '247.67 KB', 'hasXbrl': True}",0.0
AXISBANK,NSE_CORP_ANN,Shareholders meeting,Axis Bank Limited has informed the Exchange regarding Notice of Postal Ballot,,,"{'symbol': 'AXISBANK', 'desc': 'Shareholders meeting', 'dt': '19122025093836', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/AXISBANK1_19122025093718_SEintimationPostalBallot19122025-signed.pdf', 'sm_name': 'Axis Bank Limited', 'sm_isin': 'INE238A01026', 'an_dt': '19-Dec-2025 09:38:36', 'sort_date': '2025-12-19 09:38:36', 'seq_id': '106472025', 'smIndustry': 'Banks', 'orgid': None, 'attchmntText': 'Axis Bank Limited has informed the Exchange regarding Notice of Postal Ballot', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '19-Dec-2025 09:38:37', 'difference': '00:00:01', 'fileSize': '429.06 KB', 'attFileSize': '429.06 KB', 'hasXbrl': True}",0.0
AXISBANK,NSE_CORP_ANN,Change in Director(s),Axis Bank Limited has informed the Exchange regarding Change in Director(s) of the company.,,,"{'symbol': 'AXISBANK', 'desc': 'Change in Director(s)', 'dt': '18122025101244', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/AXISBANK1_18122025101018_SE_ID_appointmentSigned18122025.pdf', 'sm_name': 'Axis Bank Limited', 'sm_isin': 'INE238A01026', 'an_dt': '18-Dec-2025 10:12:44', 'sort_date': '2025-12-18 10:12:44', 'seq_id': '106471123', 'smIndustry': 'Banks', 'orgid': None, 'attchmntText': 'Axis Bank Limited has informed the Exchange regarding Change in Director(s) of the company.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '18-Dec-2025 10:12:45', 'difference': '00:00:01', 'fileSize': '166.81 KB', 'attFileSize': '166.81 KB', 'hasXbrl': True}",0.0
AXISBANK,NSE_CORP_ANN,ESOP/ESOS/ESPS,Axis Bank Limited has informed the Exchange regarding Allotment of 245902  Shares.,,,"{'symbol': 'AXISBANK', 'desc': 'ESOP/ESOS/ESPS', 'dt': '16122025201221', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/AXISBANK1_16122025201156_SE16122025Signed.pdf', 'sm_name': 'Axis Bank Limited', 'sm_isin': 'INE238A01026', 'an_dt': '16-Dec-2025 20:12:21', 'sort_date': '2025-12-16 20:12:21', 'seq_id': '106469667', 'smIndustry': 'Banks', 'orgid': None, 'attchmntText': 'Axis Bank Limited has informed the Exchange regarding Allotment of 245902  Shares.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '16-Dec-2025 20:12:22', 'difference': '00:00:01', 'fileSize': '157.77 KB', 'attFileSize': '157.77 KB', 'hasXbrl': True}",0.0
