symbol,source,published_at,headline,summary
BANDHANBNK,NSE_CORP_ANN,,Shareholders meeting,"Bandhan Bank Limited has submitted the Exchange, the Voting Results of Postal Ballot, along with a copy of the Scrutinizer's Report."
BANDHANBNK,NSE_CORP_ANN,,General Updates,"Bandhan Bank Limited has informed the Exchange about Schedule of Analysts / Institutional Investors Meets to be held on December 17, 2025 and December 18, 2025."
BANKBARODA,NSE_CORP_ANN,,General Updates,Bank Of Baroda has informed the Exchange about Subscription of Shares of Indian Digital Payment Intelligence Corporation
BANKBARODA,NSE_CORP_ANN,,General Updates,Bank Of Baroda has informed the Exchange about Group Investor Conference Intimation
BANKINDIA,NSE_CORP_ANN,,Credit Rating,Bank Of India has informed the Exchange about Credit Rating
BANKINDIA,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Bank Of India has informed the Exchange about Investor/Analyst Meet
BANKINDIA,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Bank Of India has informed the Exchange about Investor/Analyst Meet
BANKINDIA,NSE_CORP_ANN,,Updates,"Bank Of India has informed the Exchange regarding 'Issue of BASEL III Compliant Tier II Bonds of Rs.2,500 Crores'."
BANKINDIA,NSE_CORP_ANN,,Appointment,"Bank Of India has informed the Exchange regarding Appointment of  Continuation of SCAs as Other of the company w.e.f. December 11, 2025."
BEL,NSE_CORP_ANN,,Press Release,"Bharat Electronics Limited has informed the Exchange regarding a press release dated December 12, 2025, titled ""BEL Receives Order worth Rs.776 Crores""."
BHARATFORG,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Bharat Forge Limited has informed the Exchange about Schedule of meet
BHARATFORG,NSE_CORP_ANN,,Analysts/Institutional Investor Meet/Con. Call Updates,Bharat Forge Limited has informed the Exchange about Schedule of meet
BHEL,NSE_CORP_ANN,,Amendment to AOA/MOA,Bharat Heavy Electricals Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.
BHEL,NSE_CORP_ANN,,Shareholders meeting,Voting Results of Postal Ballot along with Scrutinizer's Report
BHEL,NSE_CORP_ANN,,Change in Management,Bharat Heavy Electricals Limited has informed the Exchange about change in Management
BHEL,NSE_CORP_ANN,,Change in Management,Bharat Heavy Electricals Limited has informed the Exchange about change in Management
BPCL,NSE_CORP_ANN,,General Updates,Bharat Petroleum Corporation Limited has informed the Exchange about General Updates
BPCL,NSE_CORP_ANN,,Copy of Newspaper Publication,Bharat Petroleum Corporation Limited has informed the Exchange about Copy of Newspaper Publication
BHARTIARTL,NSE_CORP_ANN,,Amendment to AOA/MOA,Bharti Airtel Limited has informed the Exchange regarding the Amendment to AOA/MOA of the company.
BHARTIARTL,NSE_CORP_ANN,,Agreements,Bharti Airtel Limited has informed the Exchange about Agreements
