symbol,source,headline,summary,published_at,nse_category,raw,score
360ONE,NSE_CORP_ANN,ESOP/ESOS/ESPS,360 ONE WAM LIMITED has informed the Exchange regarding Allotment of 212637  Shares.,,,"{'symbol': '360ONE', 'desc': 'ESOP/ESOS/ESPS', 'dt': '18122025174415', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/IIFLWAM_18122025174051_20251218AllotmentofESOPssigned.pdf', 'sm_name': '360 ONE WAM LIMITED', 'sm_isin': 'INE466L01020', 'an_dt': '18-Dec-2025 17:44:15', 'sort_date': '2025-12-18 17:44:15', 'seq_id': '106471532', 'smIndustry': None, 'orgid': None, 'attchmntText': '360 ONE WAM LIMITED has informed the Exchange regarding Allotment of 212637  Shares.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '18-Dec-2025 17:44:16', 'difference': '00:00:01', 'fileSize': '182.81 KB', 'attFileSize': '182.81 KB', 'hasXbrl': True}",0.0
ADANIENSOL,NSE_CORP_ANN,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Energy Solutions Limited has informed the Exchange about Interaction with Investors,,,"{'symbol': 'ADANIENSOL', 'desc': 'Analysts/Institutional Investor Meet/Con. Call Updates', 'dt': '15122025205848', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ADANITRANS_15122025205801_SE_Intimation.pdf', 'sm_name': 'Adani Energy Solutions Limited', 'sm_isin': 'INE931S01010', 'an_dt': '15-Dec-2025 20:58:48', 'sort_date': '2025-12-15 20:58:48', 'seq_id': '106468688', 'smIndustry': None, 'orgid': None, 'attchmntText': 'Adani Energy Solutions Limited has informed the Exchange about Interaction with Investors', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '15-Dec-2025 20:58:49', 'difference': '00:00:01', 'fileSize': '144.53 KB', 'attFileSize': '144.53 KB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Copy of Newspaper Publication,Adani Enterprises Limited has informed the Exchange about Newspaper Advertisement regarding the record date for the first Call on partly paid-up equity shares of the Company.,,,"{'symbol': 'ADANIENT', 'desc': 'Copy of Newspaper Publication', 'dt': '19122025202332', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_19122025202321_AELRecorddateIntimationNewspaper.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '19-Dec-2025 20:23:32', 'sort_date': '2025-12-19 20:23:32', 'seq_id': '106472731', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange about Newspaper Advertisement regarding the record date for the first Call on partly paid-up equity shares of the Company.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '19-Dec-2025 20:23:32', 'difference': '00:00:00', 'fileSize': '5.61 MB', 'attFileSize': '5.61 MB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Suspension of Trading,"Members of the Exchange are hereby informed that the trading in the partly paid-up equity shares (Series: E1, ISIN: IN9423A01030) of Adani Enterprises Limited shall be suspended w.e.f. December 23, 2025 (i.e., closing hours of trading on December 22, 2025) on account of first call money.",,,"{'symbol': 'ADANIENT', 'desc': 'Suspension of Trading', 'dt': '19122025175547', 'attchmntFile': '-', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '19-Dec-2025 17:55:47', 'sort_date': '2025-12-19 17:55:47', 'seq_id': '106472559', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Members of the Exchange are hereby informed that the trading in the partly paid-up equity shares (Series: E1, ISIN: IN9423A01030) of Adani Enterprises Limited shall be suspended w.e.f. December 23, 2025 (i.e., closing hours of trading on December 22, 2025) on account of first call money.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '19-Dec-2025 17:55:48', 'difference': '00:00:01', 'fileSize': '0 Bytes', 'attFileSize': '0 Bytes', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Incorporation,Adani Enterprises Limited has informed the Exchange about Incorporation,,,"{'symbol': 'ADANIENT', 'desc': 'Incorporation', 'dt': '18122025230359', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_18122025230346_AELIntimationMDL18122025.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '18-Dec-2025 23:03:59', 'sort_date': '2025-12-18 23:03:59', 'seq_id': '106471906', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange about Incorporation', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '18-Dec-2025 23:04:00', 'difference': '00:00:01', 'fileSize': '161.28 KB', 'attFileSize': '161.28 KB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Record Date,Adani Enterprises Limited has informed the Exchange that Record date for the purpose of first Call on partly paid equity shares issued on rights basis is 23-Dec-2025.,,,"{'symbol': 'ADANIENT', 'desc': 'Record Date', 'dt': '17122025210045', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_17122025205644_AELRICOutcome17122025.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '17-Dec-2025 21:00:45', 'sort_date': '2025-12-17 21:00:45', 'seq_id': '106470713', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange that Record date for the purpose of first Call on partly paid equity shares issued on rights basis is 23-Dec-2025.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '17-Dec-2025 21:00:46', 'difference': '00:00:01', 'fileSize': '141.17 KB', 'attFileSize': '141.17 KB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Outcome of Board Meeting,"Adani Enterprises Limited has informed the Exchange regarding outcome of rights issue committee meeting held on December 17, 2025.",,,"{'symbol': 'ADANIENT', 'desc': 'Outcome of Board Meeting', 'dt': '17122025205205', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_17122025204731_AELRICOutcome17122025.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '17-Dec-2025 20:52:05', 'sort_date': '2025-12-17 20:52:05', 'seq_id': '106470708', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange regarding outcome of rights issue committee meeting held on December 17, 2025.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '17-Dec-2025 20:52:07', 'difference': '00:00:02', 'fileSize': '141.17 KB', 'attFileSize': '141.17 KB', 'hasXbrl': True}",0.0
ADANIENT,NSE_CORP_ANN,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Enterprises Limited has informed the Exchange about Schedule of meet,,,"{'symbol': 'ADANIENT', 'desc': 'Analysts/Institutional Investor Meet/Con. Call Updates', 'dt': '15122025231731', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/nishant_joshi_adani_com_15122025231700_AELIntimation15122025.pdf', 'sm_name': 'Adani Enterprises Limited', 'sm_isin': 'INE423A01024', 'an_dt': '15-Dec-2025 23:17:31', 'sort_date': '2025-12-15 23:17:31', 'seq_id': '106468836', 'smIndustry': 'Trading', 'orgid': None, 'attchmntText': 'Adani Enterprises Limited has informed the Exchange about Schedule of meet', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '15-Dec-2025 23:17:32', 'difference': '00:00:01', 'fileSize': '136.11 KB', 'attFileSize': '136.11 KB', 'hasXbrl': True}",0.0
ADANIGREEN,NSE_CORP_ANN,Analysts/Institutional Investor Meet/Con. Call Updates,Adani Green Energy Limited has informed the Exchange about Schedule of meet,,,"{'symbol': 'ADANIGREEN', 'desc': 'Analysts/Institutional Investor Meet/Con. Call Updates', 'dt': '15122025195233', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ADANIGREEN_15122025195219_Letter.pdf', 'sm_name': 'Adani Green Energy Limited', 'sm_isin': 'INE364U01010', 'an_dt': '15-Dec-2025 19:52:33', 'sort_date': '2025-12-15 19:52:33', 'seq_id': '106468656', 'smIndustry': None, 'orgid': None, 'attchmntText': 'Adani Green Energy Limited has informed the Exchange about Schedule of meet', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '15-Dec-2025 19:52:34', 'difference': '00:00:01', 'fileSize': '185.04 KB', 'attFileSize': '185.04 KB', 'hasXbrl': True}",0.0
ABCAPITAL,NSE_CORP_ANN,ESOP/ESOS/ESPS,Aditya Birla Capital Limited has informed the Exchange regarding Allotment of 1375753  Shares.,,,"{'symbol': 'ABCAPITAL', 'desc': 'ESOP/ESOS/ESPS', 'dt': '17122025172449', 'attchmntFile': 'https://nsearchives.nseindia.com/corporate/ABCAPITAL_17122025172436_ESOPse17Dec2025signed.pdf', 'sm_name': 'Aditya Birla Capital Limited', 'sm_isin': 'INE674K01013', 'an_dt': '17-Dec-2025 17:24:49', 'sort_date': '2025-12-17 17:24:49', 'seq_id': '106470481', 'smIndustry': None, 'orgid': None, 'attchmntText': 'Aditya Birla Capital Limited has informed the Exchange regarding Allotment of 1375753  Shares.', 'bflag': None, 'old_new': None, 'csvName': None, 'exchdisstime': '17-Dec-2025 17:24:50', 'difference': '00:00:01', 'fileSize': '628.45 KB', 'attFileSize': '628.45 KB', 'hasXbrl': True}",0.0
